Hotel_Name,Address,Zipcode,Num_Rooms,Website,Longitude,Latitude,is_large_hotel,has_coordinates
LEDROIT PARK BED AND BREAKFEAST,210 T STREET NW,20001,2.0,http://www.ledroitparkrenaissancebedandbreakfast.com/,-8573259.46394982,4709606.94502772,0,1
GEORGETOWN HILL INN,1832 WISCONSIN AVENUE NW,20007,8.0,http://www.georgetownhillinn.com/,-8579146.66222031,4709570.19112401,0,1
WINDSOR INN,1842 16TH STREET NW,20009,58.0,http://www.windsor-inn-hotel-dc.com/,-8575713.84122657,4709545.47684107,0,1
SWANN HOUSE LLC,1808 NEW HAMPSHIRE AVENUE NW,20009,12.0,http://swannhouse.com/,-8575973.72316726,4709441.2828801,0,1
KIMPTON CARLYLE HOTEL,1731 NEW HAMPSHIRE AVENUE NW,20009,170.0,https://www.carlylehoteldc.com/boutique-hotels-washington-dc/,-8575994.94258602,4709266.92464414,1,1
IVY MANSION B&B AT DUPONT CIRCLE,1705 21ST STREET NW,20009,,http://theivymansion.com/,-8576766.99819555,4709213.07531521,0,1
EMBASSY CIRCLE GUEST HOUSE,2224 R STREET NW,20008,11.0,http://www.dcinns.com/embassy.html,-8577145.73081202,4709135.93479617,0,1
HOWARD JOHNSON BY WYNDHAM WASHINGTON DC,600 NEW YORK AVENUE NE,20002,53.0,https://www.wyndhamhotels.com/hojo/washington-district-of-columbia/howard-johnson-express-inn-washington-dc/overview,-8571111.95446555,4709121.69327582,0,1
THE EMBASSY INN HOTEL,1627 16TH STREET NW,20009,39.0,https://embassy-inn-hotel-dc.com/,-8575614.11419406,4709108.36951525,0,1
GEORGETOWN UNIVERSITY HOTEL & CONFERENCE CENTER,3800 RESERVOIR ROAD NW,20007,146.0,http://www.acc-guhotelandconferencecenter.com/,-8579981.3970661,4709104.34214434,1,1
HOMEWOOD SUITES WASHINGTON DC NOMA UNION STATION,501 NEW YORK AVENUE NE,20002,,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-noma-union-station-DCANEHW/index.html,-8571234.56785601,4708981.72715525,0,1
HAMPTON INN WASHINGTON DC NOMA UNION STATION,501 NEW YORK AVENUE NE,20002,,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-washington-dc-noma-union-station-DCANYHX/index.html,-8571257.33256254,4708974.38076569,0,1
THE EMBASSY ROW HOTEL,2015 MASSACHUSETTS AVENUE NW,20036,231.0,http://www.embassyrowhotel.com/,-8576687.24581699,4708892.79350645,1,1
THE FAIRFAX AT EMBASSY ROW,2100 MASSACHUSETTS AVENUE NW,20008,259.0,https://fairfaxwashingtondc.com,-8576835.5633656,4708859.17193543,1,1
THE DUPONT CIRCLE HOTEL,1500 NEW HAMPSHIRE AVENUE NW,20036,327.0,http://www.doylecollection.com/locations/washington_dc_hotels/the_dupont_circle_hotel.aspx,-8576398.09327416,4708856.36022381,1,1
THE BARON HOTEL,1523 22ND STREET NW,20037,53.0,http://www.thebaronhotel.com/,-8576997.56511245,4708831.39187177,0,1
MOTEL 6 WASHINGTON DC - CONVENTION CENTER,1345 4TH STREET NE,20002,33.0,https://www.motel6.com/en/motels.dc.washington.4481.html?ncr=true,-8571367.05121092,4708813.35538363,0,1
KIMPTON HOTEL PALOMAR WASHINGTON DC,2121 P STREET NW,20037,335.0,http://www.hotelpalomar-dc.com/,-8576879.04970258,4708762.42991247,1,1
"RESIDENCE INN WASHINGTON, DC/DUPONT CIRCLE",2120 P STREET NW,20037,107.0,http://www.marriott.com/hotels/travel/wasri-residence-inn-washington-dc-dupont-circle/,-8576868.86750569,4708704.72617247,1,1
THE AVERY GEORGETOWN,2616 P STREET NW,20007,,https://www.averygeorgetown.com/,-8577762.92578531,4708678.88508673,0,1
"CAMBRIA HOTEL WASHINGTON, DC CONVENTION CENTER",899 O STREET NW,20001,,https://www.cambriadc.com/en-us,-8574241.31068361,4708609.82096345,0,1
BED AND BREAKFAST DC,1339 14TH STREET NW,20005,,https://www.bedandbreakfastdc.com,-8575122.30028461,4708580.44087829,0,1
THE MANSION ON O STREET,2020 O STREET NW,20036,49.0,http://omansion.com/lodging,-8576713.41552746,4708557.85420046,0,1
DC LOFTY HOSTEL,1333 11TH STREET NW,20001,,http://dclofty.com/,-8574578.10086351,4708547.74081505,0,1
KIMPTON ROUGE HOTEL,1315 16TH STREET NW,20036,137.0,http://www.rougehotel.com/,-8575623.0421467,4708541.09059757,1,1
HOLIDAY INN WASHINGTON DC-CENTRAL/WHITE HOUSE,1501 RHODE ISLAND AVENUE NW,20005,212.0,http://www.inndc.com/,-8575493.98185759,4708519.58114929,1,1
KIMPTON MASON & ROOK HOTEL,1430 RHODE ISLAND AVENUE NW,20005,178.0,https://www.masonandrookhotel.com/,-8575275.1502743,4708514.54684131,1,1
