Hotel_Name,Address,Zipcode,Num_Rooms,Website,Longitude,Latitude,is_large_hotel,has_coordinates
"THE MAYFLOWER HOTEL, AUTOGRAPH COLLECTION",1127 CONNECTICUT AVENUE NW,20036,657.0,https://www.marriott.com/hotels/travel/wasak-the-mayflower-hotel-autograph-collection/,-8575994.44576608,4707994.03953897,1,1
THE ELDON LUXURY SUITES,933 L STREET NW,20001,50.0,http://eldonsuites.com/,-8574428.30790504,4707991.85350459,0,1
"RESIDENCE INN WASHINGTON, DC DOWNTOWN",1199 VERMONT AVENUE NW,20005,202.0,http://www.marriott.com/hotels/travel/wasdc-residence-inn-washington-dc-downtown/,-8575204.58023401,4707990.27955671,1,1
MORRISON-CLARK INN,1011 L STREET NW,20001,114.0,http://www.morrisonclark.com/,-8574551.28054378,4707984.7824785,1,1
HOMEWOOD SUITES WASHINGTON DC CONVENTION CENTER,465 NEW YORK AVENUE NW,20001,,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-convention-center-WASCOHW,-8573637.19760007,4707984.74997289,0,1
GEORGETWON SUITES 30TH STREET,1111 30TH STREET NW,20007,220.0,http://www.georgetownsuites.com/,-8578162.85927081,4707982.51814861,1,1
RESIDENCE INN WASHINGTON DOWNTOWN/CONVENTION CENTER,901 L STREET NW,20001,,https://www.marriott.com/hotels/maps/travel/wasrd-residence-inn-washington-downtown-convention-center/,-8574306.51093101,4707980.49531308,0,1
COURTYARD WASHINGTON DOWNTOWN/CONVENTION CENTER,901 L STREET NW,20001,,https://www.marriott.com/hotels/travel/wasyv-courtyard-washington-downtown-convention-center/,-8574293.71160978,4707980.26548516,0,1
THE GEORGETOWN HOUSE,1061 31ST STREET NW,20007,11.0,https://www.thegeorgetownhousedc.com/,-8578388.00135476,4707977.5244177,0,1
GEORGETOWN INN WEST END,1121 NEW HAMPSHIRE AVENUE NW,20037,76.0,https://www.georgetowninnwestend.com/,-8576939.01263021,4707974.16573643,0,1
"ROSEWOOD WASHINGTON, D.C.",1050 31ST STREET NW,20007,61.0,https://www.rosewoodhotels.com/en/washington-dc,-8578442.29486434,4707929.15149817,0,1
HOTEL RL,1823 L STREET NW,20036,99.0,https://www.redlion.com/washington-dc,-8576355.07389811,4707927.57670117,0,1
THE ARCHITECT HOTEL,1025 15TH STREET NW,20005,,http://www.thearchitecthotel.com/,-8575415.43376848,4707866.30120372,0,1
AVENUE SUITES HOTEL,2500 PENNSYLVANIA AVENUE NW,20037,124.0,https://www.avenuesuitesgeorgetown.com/,-8577575.56570046,4707849.80597991,1,1
ONE WASHINGTON CIRCLE HOTEL,1 WASHINGTON CIRCLE NW,20037,151.0,http://www.thecirclehotel.com/,-8577136.49261804,4707840.86786216,1,1
"MARRIOT MARQUIS WASHINGTON, DC",901 MASSACHUSETTS AVENUE NW,20001,1175.0,https://www.marriott.com/hotels/travel/wasco-marriott-marquis-washington-dc,-8574295.49733707,4707826.77882353,1,1
RITZ-CARLTON GEORGETOWN,3100 SOUTH STREET NW,20007,86.0,http://www.ritzcarlton.com/en/hotels/washington-dc/georgetown,-8578469.64605438,4707818.11869846,0,1
HENLEY PARK HOTEL,926 MASSACHUSETTS AVENUE NW,20001,96.0,http://www.henleypark.com/,-8574462.86965324,4707808.79543782,0,1
CAPITAL HILTON,1001 16TH STREET NW,20036,541.0,http://www3.hilton.com/en/hotels/district-of-columbia/capital-hilton-DCASHHH/index.html,-8575601.06312048,4707805.21379567,1,1
MELROSE GEORGETOWN HOTEL,2430 PENNSYLVANIA AVENUE NW,20037,277.0,http://www.melrosehoteldc.com/,-8577465.13511853,4707789.48634365,1,1
GEORGETOWN SUITES HARBOUR,1000 29TH STREET NW,20007,222.0,http://www.georgetownsuites.com/,-8578097.39069617,4707776.61365356,1,1
HAMILTON HOTEL WASHINGTON DC,1001 14TH STREET NW,20005,301.0,http://www.hamiltonhoteldc.com/,-8575117.35129001,4707776.27095074,1,1
EATON WASHINGTON DC,1201 K STREET NW,20005,209.0,https://www.eatonworkshop.com/hotel/dc,-8574769.55905334,4707775.71575151,1,1
HI WASHINGTON DC HOSTEL,1009 11TH STREET NW,20001,250.0,http://www.hiusa.org/washingtondc/,-8574579.44106494,4707774.93590233,1,1
